Date,Odometer,Consumption
24/01/2016,150780,3.17
28/01/2016,152335,2.83
30/01/2016,153429,3.18
08/02/2016,154820,3.16
12/02/2016,156256,2.98
17/02/2016,157675,3.02
22/02/2016,159159,2.96
28/02/2016,160580,3.04
04/03/2016,161984,3.11
07/03/2016,163426,2.98
11/03/2016,164913,2.97
18/03/2016,166420,2.95
24/03/2016,167905,2.86
31/03/2016,169425,2.9
07/04/2016,170950,2.89
15/04/2016,172350,2.93
26/04/2016,173843,2.96
30/04/2016,175308,2.98
06/05/2016,176868,2.85
11/05/2016,178379,2.98
18/05/2016,179862,2.97
25/05/2016,181283,2.85
28/05/2016,182568,3.19
01/06/2016,184145,2.79
07/06/2016,185787,2.67
14/06/2016,187228,3.04
19/06/2016,188419,2.91
24/06/2016,189808,3.12
01/07/2016,191146,3.09
21/07/2016,192550,3.07
23/07/2016,193871,3.23
01/08/2016,194490,4.26
04/08/2016,195736,3.51
08/08/2016,197025,3.27
17/08/2016,198495,3.06
27/08/2016,200000,2.9
30/08/2016,201554,2.81
04/09/2016,203001,2.97
07/09/2016,204450,3.11
14/09/2016,205912,2.94
19/09/2016,207516,2.77
25/09/2016,209052,2.85
30/09/2016,210565,2.83
10/10/2016,212042,2.95
13/10/2016,213625,2.78
21/10/2016,215035,3.01
28/10/2016,216495,3.05
02/11/2016,217955,3.08
18/11/2016,219280,3.19
22/11/2016,220418,2.97
26/11/2016,222023,2.72
27/11/2016,223508,2.9
02/12/2016,224980,2.94
07/12/2016,226450,2.98
09/12/2016,227711,2.87
14/12/2016,229223,2.88
19/12/2016,230750,2.87
23/12/2016,232080,2.93
29/12/2016,232844,3.42
05/01/2017,234205,3.16
11/01/2017,235672,2.97
17/01/2017,237145,2.97
20/01/2017,238490,3.05
25/01/2017,239925,3.1
28/01/2017,241250,3.24
06/02/2017,242619,3.08
10/02/2017,243763,3.18
21/02/2017,245168,3.15
03/03/2017,246626,3.02
09/03/2017,248034,2.94
11/03/2017,249666,2.65
14/03/2017,251180,2.86
17/03/2017,252525,2.81
24/03/2017,253990,2.96
29/03/2017,255470,2.88
04/04/2017,257070,2.78
10/04/2017,258589,2.85
18/04/2017,260151,2.83
21/04/2017,261603,2.85
28/04/2017,263075,2.96
09/05/2017,264550,2.94
11/05/2017,265609,2.75
13/05/2017,267060,2.99
14/05/2017,268452,2.85
23/05/2017,269943,2.82
29/05/2017,271425,2.94
09/06/2017,272960,2.78
19/06/2017,274991,2.67
19/06/2017,274436,2.9
23/06/2017,276532,2.74
03/07/2017,278061,2.81
10/07/2017,279567,2.95
21/07/2017,281055,2.9
27/07/2017,282500,2.94
03/08/2017,284041,2.86
10/08/2017,285593,2.79
18/08/2017,287136,2.85
25/08/2017,288558,2.87
01/09/2017,290000,2.81
10/09/2017,291470,2.93
18/09/2017,292953,2.91
22/09/2017,294386,2.98
29/09/2017,295832,2.84
06/10/2017,297176,2.97
19/10/2017,298607,2.95
26/10/2017,300008,2.95
03/11/2017,301470,2.8
14/11/2017,302850,2.97
21/11/2017,304171,2.99
01/12/2017,305584,3.17
07/12/2017,306949,3.15
15/12/2017,308135,3.22
20/12/2017,309401,3.11
28/12/2017,310661,3.08
30/12/2017,311211,3.37
09/01/2018,312572,3.01
12/01/2018,313830,3.07
18/01/2018,315037,3.3
22/01/2018,316335,3.17
27/01/2018,317670,3.24
05/02/2018,318865,3.47
10/02/2018,320250,2.96
16/02/2018,321579,3.26
23/02/2018,322843,3.17
01/03/2018,324175,3.3
04/03/2018,325425,3.2
08/03/2018,326955,2.89
12/03/2018,328525,2.75
16/03/2018,330025,2.93
18/03/2018,331432,2.99
23/03/2018,332833,2.95
27/03/2018,334310,2.95
04/04/2018,335768,2.96
13/04/2018,337258,2.89
20/04/2018,338742,2.93
27/04/2018,340255,2.83
04/05/2018,341708,2.75
22/05/2018,343214,2.91
01/06/2018,344750,2.89
15/06/2018,345960,2.89
25/06/2018,347402,2.95
10/07/2018,348905,2.95
15/07/2018,350510,2.77
19/07/2018,352235,2.5
26/07/2018,353717,2.83
30/07/2018,355196,2.84
03/08/2018,356760,2.68
08/08/2018,358400,2.7
12/08/2018,359977,2.8
17/08/2018,361580,2.69
24/08/2018,363133,2.74
31/08/2018,364665,2.74
04/09/2018,366208,2.8
12/09/2018,367723,2.84
14/09/2018,369024,2.8
15/09/2018,370229,2.35
20/09/2018,371772,2.89
26/09/2018,373300,2.81
29/09/2018,374298,2.68
03/10/2018,375729,3
08/10/2018,377103,3.18
09/10/2018,378238,3.52
14/10/2018,379653,3.04
20/10/2018,380790,3.45
25/10/2018,382260,2.99
29/10/2018,383755,2.94
04/11/2018,385123,3.23
09/11/2018,386541,2.91
14/11/2018,387885,2.97
19/11/2018,389262,2.96
23/11/2018,390603,3.04
28/11/2018,392108,2.96
06/12/2018,393528,2.96
14/12/2018,394906,3.05
21/12/2018,396005,3.18
29/12/2018,396861,3.04
04/01/2019,397968,2.98
10/01/2019,399355,3.03
12/01/2019,400322,2.84
17/01/2019,401590,3.29
24/01/2019,402890,3.08
26/01/2019,404061,3.31
04/02/2019,405406,3.21
11/02/2019,406802,3.01
16/02/2019,408238,2.79
21/02/2019,409770,2.74
01/03/2019,411129,2.89
08/03/2019,412463,2.83
12/03/2019,413885,2.85
19/03/2019,415346,2.9
29/03/2019,416851,2.93
12/04/2019,418156,2.76
14/04/2019,419475,3.28
21/04/2019,420787,2.98
06/05/2019,422288,2.91
24/05/2019,423816,2.8
08/06/2019,425370,2.81
14/06/2019,426927,2.8
25/06/2019,428477,2.74
02/07/2019,429900,2.68
11/07/2019,431310,2.91
17/07/2019,432839,2.82
21/07/2019,434452,2.71
27/07/2019,435943,2.76
02/08/2019,437385,2.98
12/08/2019,438791,2.86
21/08/2019,440221,2.98
28/08/2019,441666,2.84
02/09/2019,443101,2.98
08/09/2019,444115,4.34
14/09/2019,445337,3.43
20/09/2019,446835,2.85
22/09/2019,448345,2.85
27/09/2019,449882,2.76
29/09/2019,451262,2.99
02/10/2019,452683,2.94
09/10/2019,454016,3.27
12/10/2019,455276,2.98
17/10/2019,456730,2.96
19/10/2019,458271,2.83
23/10/2019,459830,2.82
29/10/2019,461331,2.83
05/11/2019,462681,3.19
11/11/2019,464092,3.12
14/11/2019,464964,3.14
20/11/2019,466438,2.88
28/11/2019,467817,2.94
07/12/2019,469195,3.12
10/12/2019,470620,2.95
13/12/2019,471806,2.98
20/12/2019,473165,3.02
23/12/2019,474427,2.89
28/12/2019,475508,2.91
07/01/2020,477044,2.8
16/01/2020,478444,3
24/01/2020,479900,2.88
01/02/2020,481230,3.23
07/02/2020,482665,2.96
14/02/2020,484042,2.99
21/02/2020,485472,2.94
28/02/2020,486895,3.11
06/03/2020,488441,2.75
15/03/2020,489806,3.11
30/03/2020,491430,2.65
03/04/2020,492920,2.83
09/04/2020,494475,2.7
17/04/2020,495920,2.99
24/04/2020,497380,2.97
27/04/2020,498856,2.91
05/05/2020,500280,2.98
12/05/2020,501765,2.9
15/05/2020,503245,2.92
20/05/2020,504805,2.76
25/05/2020,506305,2.96
29/05/2020,507905,2.75
04/06/2020,509431,2.84
09/06/2020,510881,2.9
18/06/2020,512290,2.96
25/06/2020,513841,2.71
30/06/2020,515407,2.89
04/07/2020,517835,2.43
04/07/2020,516827,2.89
09/07/2020,519035,2.75
13/07/2020,520530,2.94
20/07/2020,522100,2.8
27/07/2020,523704,2.78
01/08/2020,525305,2.75
17/09/2020,526755,2.96
21/09/2020,528277,2.69
24/09/2020,529750,2.85
29/09/2020,531190,2.98
04/10/2020,532307,2.96
10/10/2020,533675,2.93
11/10/2020,534405,2.47
15/10/2020,535765,3.16
20/10/2020,537238,2.95
26/10/2020,538710,2.92
30/10/2020,540176,2.91
06/11/2020,541625,2.97
13/11/2020,543227,2.62
23/11/2020,544686,2.88
27/11/2020,546149,2.92
04/12/2020,547515,2.71
14/12/2020,548925,2.87
18/12/2020,550345,2.89
22/12/2020,551890,2.65
28/12/2020,553410,2.7
30/12/2020,554603,2.83
07/01/2021,556035,2.83
11/01/2021,557505,2.79
18/01/2021,559005,2.87
25/01/2021,560515,2.85
29/01/2021,562001,2.89
03/02/2021,563535,2.84
08/02/2021,565090,2.7
15/02/2021,566503,3.06
19/02/2021,567981,2.78
25/02/2021,569590,2.61
04/03/2021,571111,2.83
11/03/2021,572625,2.87
18/03/2021,574220,2.7
22/03/2021,575687,2.93
26/03/2021,577301,2.66
30/03/2021,578900,2.69
06/04/2021,580500,2.69
09/04/2021,582005,2.86
15/04/2021,583515,2.78
20/04/2021,585126,2.67
27/04/2021,586700,2.73
30/04/2021,588225,2.76
06/05/2021,589714,2.83
11/05/2021,591400,2.55
18/05/2021,592967,2.68
25/05/2021,594500,2.8
01/06/2021,596115,2.64
09/06/2021,597765,2.61
15/06/2021,599155,3.24
23/06/2021,600593,3.09
01/07/2021,602040,2.97
30/07/2021,603536,2.87
09/08/2021,605025,2.96
16/08/2021,606531,2.79
25/08/2021,608025,2.95
31/08/2021,609600,2.73
05/09/2021,611145,2.78
12/09/2021,612562,2.9
19/09/2021,613604,3.25
25/09/2021,614692,3.68
29/09/2021,615900,3.49
03/10/2021,617322,3.09
12/10/2021,618757,2.98
18/10/2021,620240,2.92
28/10/2021,621670,3.01
07/11/2021,623000,2.86
18/11/2021,624480,2.91
22/11/2021,625385,2.98
30/11/2021,626752,3.07
04/12/2021,627978,3.14
14/12/2021,629364,3.17
17/12/2021,630818,2.82
24/12/2021,632080,3.09
30/12/2021,633493,3.11
06/01/2022,634940,2.97
11/01/2022,636400,2.95
18/01/2022,637845,3.04
04/02/2022,639240,3.08
09/02/2022,640665,3.02
12/02/2022,642110,2.94
16/02/2022,643555,2.91
22/02/2022,645001,2.97
01/03/2022,646321,3.11
11/03/2022,647788,2.93
17/03/2022,649290,2.83
19/03/2022,650739,2.95
24/03/2022,652281,2.72
30/03/2022,653777,2.81
06/04/2022,655165,3.03
11/04/2022,656561,3.18
19/04/2022,658130,2.74
29/04/2022,659460,2.93
11/05/2022,660825,2.93
20/05/2022,662250,2.82
23/05/2022,663507,3.24
25/05/2022,664873,3.15
03/06/2022,666356,2.93
08/06/2022,667895,2.76
11/06/2022,669497,2.75
27/06/2022,671098,2.68
07/07/2022,672600,2.8
13/07/2022,674070,2.89
17/07/2022,675600,2.81
20/07/2022,677240,2.66
27/07/2022,678687,2.94
01/08/2022,680255,2.73
10/08/2022,681815,2.77
16/08/2022,683429,2.79
25/08/2022,684788,3.2
31/08/2022,686320,2.77
05/09/2022,687773,2.73
12/09/2022,689297,2.74
16/09/2022,690837,2.85
22/09/2022,692348,2.91
29/09/2022,693840,2.89
07/10/2022,695380,2.82
13/10/2022,696820,2.92
01/11/2022,698306,2.99
02/11/2022,699000,2.88
06/11/2022,700417,2.97
10/11/2022,701900,2.88
17/11/2022,703355,2.98
28/11/2022,704601,3.29
02/12/2022,705700,3.1
10/12/2022,706945,3.46
14/12/2022,708375,3.08
19/12/2022,709650,3.22
24/12/2022,710676,3.31
30/12/2022,711830,3.26
05/01/2023,713141,3.26
10/01/2023,714555,3.08
16/01/2023,715860,3.37
19/01/2023,716975,3.21
20/01/2023,717668,3.44
29/01/2023,718730,3.49
02/02/2023,720201,3.06
06/02/2023,721505,3.11
10/02/2023,722935,2.97
15/02/2023,724250,2.94
20/02/2023,725555,3.14
22/02/2023,727000,2.94
01/03/2023,728400,3.1
05/03/2023,729825,3.05
09/03/2023,731205,3.05
16/03/2023,732549,3.13
25/03/2023,733955,2.99
30/03/2023,735325,3.02
06/04/2023,736699,2.91
11/04/2023,737799,2.91
17/04/2023,739311,2.87
24/04/2023,740800,2.85
05/05/2023,742248,2.92
15/05/2023,743810,2.75
24/05/2023,745197,2.83
01/06/2023,746557,2.92
15/06/2023,748131,2.75
18/06/2023,749570,2.94
25/06/2023,750590,4.17
04/07/2023,752015,3.12
11/07/2023,753481,2.88
14/07/2023,754938,2.87
19/07/2023,756558,2.67
25/07/2023,758150,2.74
31/07/2023,759730,2.72
07/08/2023,761288,2.8
14/08/2023,762820,2.74
19/08/2023,764375,2.77
24/08/2023,765935,2.72
31/08/2023,767385,2.76
05/09/2023,768916,2.76
09/09/2023,770520,2.63
12/09/2023,772071,2.8
19/09/2023,773560,2.89
23/09/2023,775004,2.87
01/10/2023,776472,2.95
08/10/2023,777975,2.86
10/10/2023,779550,2.77
17/10/2023,780856,2.76
20/10/2023,782331,2.88
26/10/2023,783759,2.99
31/10/2023,785196,2.85
05/11/2023,786570,2.93
10/11/2023,787878,2.98
17/11/2023,789236,2.89
20/11/2023,790593,2.88
28/11/2023,791925,3.3
04/12/2023,793295,3.04
08/12/2023,794331,3.15
16/12/2023,795237,3.55
22/12/2023,796573,2.91
29/12/2023,797513,3.25
04/01/2024,798922,2.97
07/01/2024,800380,2.95
08/01/2024,801794,3.04
15/01/2024,803135,3.06
20/01/2024,804601,3.13
29/01/2024,805857,3.36
05/02/2024,807280,3.03
09/02/2024,808626,2.99
16/02/2024,810061,2.89
22/02/2024,811469,2.82
29/02/2024,812815,3.26
10/03/2024,814280,2.97
15/03/2024,815860,2.71
22/03/2024,817360,2.87
28/03/2024,818560,2.91
05/04/2024,820055,2.81
11/04/2024,821460,2.9
16/04/2024,822326,2.98
26/04/2024,823578,3.4
03/05/2024,824988,3.02
07/05/2024,826375,2.97
13/05/2024,827812,2.96
17/05/2024,829255,2.92
27/05/2024,830619,3.01
05/06/2024,831891,3.08
09/06/2024,833250,3.16
18/06/2024,834553,3.02
26/06/2024,835836,3.42
29/06/2024,837241,3.03
05/07/2024,838650,3.03
11/07/2024,840102,2.82
17/07/2024,841460,3.13
22/07/2024,842986,2.85
29/07/2024,844472,2.88
11/08/2024,845919,2.97
14/08/2024,847089,2.85
15/08/2024,848281,2.97
16/08/2024,849140,3.25
17/08/2024,850032,3.33
19/08/2024,851845,3.03
19/08/2024,851345,3.41
20/08/2024,853092,3.06
27/08/2024,854520,2.94
02/09/2024,855965,2.9
10/09/2024,857400,2.86
18/09/2024,858729,3.16
24/09/2024,860110,3.07
30/09/2024,861463,2.91
07/10/2024,862790,3.17
12/10/2024,863976,3.68
16/10/2024,865395,2.98
25/10/2024,866858,2.96
31/10/2024,868286,2.98
08/11/2024,869699,3.07
17/11/2024,871028,3.25
22/11/2024,872305,3.29
25/11/2024,873061,3.21
04/12/2024,874346,2.98
14/12/2024,875657,3.32
18/12/2024,877075,3.06
24/12/2024,878447,3.18
31/12/2024,879862,3
03/01/2025,881220,3.09
10/01/2025,882580,3.04
16/01/2025,883937,3.05
22/01/2025,885315,3.16
01/02/2025,886638,3.17
06/02/2025,888003,3.12
08/02/2025,889449,2.92
